40.41, -72.46, 40.01, -71.39
40.09, -72.64, 40.65, -71.21
40.08, -73.26, 41.42, -70.48
40.12, -73.81, 40.24, -70.82
40.15, -73.66, 40.68, -71.64
40.12, -73.35, 41.60, -70.54
40.07, -73.76, 40.44, -71.99
40.43, -72.20, 40.32, -71.85
40.45, -73.82, 41.13, -71.41
40.29, -73.13, 40.44, -71.22
40.69, -72.91, 40.54, -70.47
40.44, -73.28, 41.32, -70.28
40.14, -73.14, 41.07, -71.13
40.47, -72.08, 41.17, -70.07
40.36, -72.98, 41.30, -70.60
40.11, -72.47, 40.65, -70.68
40.27, -72.83, 41.10, -70.62
40.09, -72.19, 41.25, -71.23
40.29, -72.07, 41.64, -71.29
40.48, -73.18, 41.08, -71.29
40.33, -72.86, 40.86, -71.39
40.28, -73.33, 40.66, -71.69
40.31, -73.75, 40.10, -71.33
40.60, -72.72, 40.86, -71.49
40.14, -73.25, 40.09, -70.87
40.55, -73.70, 41.22, -71.40
40.67, -72.26, 40.78, -70.27
40.28, -72.54, 41.11, -70.58
40.24, -72.38, 41.30, -71.76
40.01, -73.97, 40.39, -70.54
40.45, -72.16, 40.54, -71.66
40.10, -73.65, 41.11, -70.72
40.08, -72.76, 40.46, -70.85
40.36, -72.03, 41.13, -71.01
40.11, -72.81, 40.62, -70.15
40.23, -72.24, 41.47, -71.78
40.60, -73.56, 41.58, -70.71
40.67, -72.96, 40.58, -70.84
40.00, -72.14, 40.87, -70.26
40.54, -72.43, 40.95, -71.50
40.01, -73.76, 41.32, -70.34
40.21, -73.89, 40.61, -70.59
40.28, -73.85, 41.57, -71.22
40.64, -73.01, 41.69, -71.65
40.03, -73.68, 40.97, -70.86
40.18, -73.20, 41.06, -71.08
40.37, -73.01, 40.87, -71.32
40.14, -72.25, 40.43, -71.52
40.16, -72.99, 40.07, -70.20
40.37, -73.39, 40.35, -71.48
40.23, -72.39, 40.02, -71.54
40.50, -73.32, 41.55, -70.45
40.11, -72.57, 41.37, -71.04
40.23, -73.39, 41.12, -71.21
40.41, -72.06, 41.02, -71.24
40.47, -72.29, 41.47, -70.89
40.00, -73.67, 40.57, -70.83
40.62, -73.31, 40.74, -71.52
40.57, -72.97, 40.63, -71.11
40.20, -72.67, 41.23, -70.81
40.58, -72.55, 41.56, -71.52
40.36, -72.25, 40.97, -71.77
40.42, -72.97, 41.58, -71.38
40.65, -73.17, 40.05, -70.43
40.08, -73.05, 40.76, -71.49
40.62, -73.96, 40.94, -70.11
40.21, -73.45, 40.33, -70.13
40.61, -73.21, 41.37, -70.95
40.60, -73.08, 40.53, -70.70
40.02, -73.97, 41.48, -70.33
40.04, -72.17, 40.57, -70.78
40.07, -73.40, 41.22, -71.84
40.59, -72.47, 40.29, -70.21
40.67, -72.74, 40.29, -71.32
40.49, -72.42, 40.19, -71.44
40.41, -72.36, 40.56, -70.34
40.62, -73.38, 40.39, -70.45
40.24, -72.03, 40.04, -71.26
40.00, -72.48, 40.06, -71.57
40.51, -72.54, 40.93, -70.17
40.02, -72.60, 41.57, -71.66
40.32, -72.75, 41.37, -70.44
40.30, -73.97, 41.65, -71.81
40.62, -73.32, 41.62, -71.34
40.68, -73.25, 41.38, -71.49
40.03, -72.78, 41.05, -70.43
40.17, -72.90, 40.62, -71.62
40.14, -72.13, 41.14, -70.28
40.44, -73.95, 40.65, -70.97
40.02, -73.10, 41.40, -70.50
40.09, -72.66, 40.23, -71.36
40.34, -74.00, 40.33, -70.91
40.68, -73.31, 40.70, -70.74
40.11, -73.30, 41.69, -71.17
40.62, -73.27, 41.43, -71.06
40.25, -72.95, 40.92, -70.11
40.52, -72.79, 40.50, -71.70
40.42, -73.93, 40.36, -70.26
40.03, -73.41, 40.94, -71.28
40.38, -72.87, 40.39, -71.33
