40.49, -70.48, 40.33, -70.69
40.58, -73.58, 41.16, -70.24
40.39, -72.65, 40.37, -70.91
40.42, -72.27, 40.94, -71.62
40.54, -72.71, 40.39, -71.78
40.18, -70.13, 41.68, -70.19
40.42, -71.62, 41.09, -71.08
40.06, -70.48, 40.44, -70.65
40.63, -73.92, 41.15, -70.20
40.19, -70.61, 40.52, -70.95
40.35, -73.53, 40.50, -70.98
40.50, -71.18, 40.92, -70.49
40.24, -71.22, 40.26, -71.74
40.52, -70.79, 41.53, -71.06
40.21, -72.05, 40.48, -71.39
40.41, -73.32, 40.44, -70.41
40.16, -72.23, 40.88, -70.44
40.41, -70.46, 40.78, -71.05
40.08, -71.58, 41.31, -71.71
40.65, -73.59, 40.14, -70.78
40.46, -72.43, 41.28, -70.94
40.13, -71.32, 41.61, -71.11
40.61, -72.39, 41.07, -71.58
40.66, -70.04, 40.23, -71.23
40.65, -73.90, 40.00, -71.83
40.47, -73.92, 41.52, -70.51
40.08, -73.93, 41.36, -70.96
40.40, -70.12, 40.64, -71.26
40.31, -70.56, 40.45, -71.22
40.14, -72.83, 40.70, -71.16
40.28, -73.87, 41.38, -71.79
40.54, -71.31, 40.59, -71.25
40.59, -71.82, 41.21, -71.65
40.59, -70.11, 40.51, -70.45
40.31, -72.62, 40.04, -70.15
40.24, -72.48, 40.29, -71.00
40.24, -71.83, 41.37, -71.50
40.00, -73.63, 40.96, -71.71
40.56, -72.03, 40.72, -71.92
40.27, -71.70, 40.49, -72.00
40.57, -73.88, 41.06, -70.08
40.22, -71.52, 41.62, -71.60
40.42, -70.80, 41.42, -71.26
40.05, -72.29, 41.65, -70.94
40.17, -73.67, 40.30, -70.17
40.34, -73.58, 40.50, -70.10
40.19, -72.25, 40.57, -70.18
40.09, -72.67, 40.17, -70.69
40.46, -70.91, 40.06, -70.82
40.03, -70.78, 40.88, -70.02
40.70, -71.10, 41.16, -70.01
40.52, -72.97, 41.20, -71.94
40.54, -74.00, 40.97, -71.48
40.04, -72.02, 41.63, -71.73
40.21, -72.20, 41.31, -71.87
40.57, -70.91, 41.66, -70.55
40.42, -73.81, 40.55, -71.29
40.01, -70.86, 40.24, -71.71
40.06, -73.10, 41.26, -71.71
40.54, -73.08, 41.63, -70.72
40.00, -72.02, 40.18, -70.53
40.52, -71.78, 40.58, -70.48
40.31, -70.00, 41.05, -71.40
40.47, -72.52, 41.13, -71.17
40.10, -71.62, 40.80, -71.91
40.33, -70.99, 41.21, -70.64
40.20, -73.99, 41.49, -71.74
40.29, -70.69, 40.76, -70.54
40.51, -72.81, 41.07, -71.38
40.10, -70.85, 40.01, -70.71
40.46, -70.31, 41.15, -71.16
40.07, -70.61, 40.50, -71.40
40.31, -71.13, 40.85, -70.71
40.31, -72.13, 40.30, -71.97
40.33, -73.95, 41.60, -71.22
40.55, -70.87, 41.06, -71.76
40.66, -71.10, 40.62, -71.46
40.02, -71.04, 40.58, -70.01
40.22, -72.77, 40.22, -70.92
40.27, -73.38, 41.40, -71.38
40.67, -70.92, 41.36, -70.47
40.31, -73.22, 40.69, -71.59
40.55, -72.03, 40.35, -71.27
40.68, -71.76, 41.65, -70.65
40.53, -70.72, 40.30, -70.69
40.63, -73.01, 40.84, -70.16
40.49, -71.43, 40.09, -70.73
40.37, -71.46, 40.18, -71.77
40.55, -70.72, 40.01, -70.83
40.41, -71.12, 40.02, -71.08
40.17, -71.22, 40.14, -71.37
40.42, -72.02, 40.23, -70.84
40.68, -72.72, 41.69, -70.34
40.35, -71.83, 41.61, -71.41
40.69, -73.34, 40.07, -70.72
40.29, -70.68, 40.39, -71.41
40.66, -70.06, 41.33, -71.36
40.10, -71.39, 40.95, -71.36
40.41, -72.94, 40.67, -70.12
40.68, -73.12, 41.47, -71.66
